,Unnamed: 0,file_name,label,text,English,Manually_Labeled
0,0,BG_Box_AleksandarPovetkin_vs_AnthonyDjoshua_NO,NO,"Аз съм в много добра форма, проведох отличен тренировъчен лагер.
Джошуа е един от най-силните боксьори в света в тежка категория.
Затова съм щастлив, че имам възможност да бъда на ринга срещу него и искам да подаря на феновете един хубав двубой.
Тази среща ще покаже всичко, Антъни е силен боксьор, но и аз съм съм силен.
Когато се бих с Кличко, бях по-слаб и се намирах в по-лоша форма, отколкото съм в момента.","I am in very good shape, I had an excellent training camp.
Joshua is one of the strongest heavyweight boxers in the world.
That's why I'm happy to have the opportunity to be in the ring against him and I want to give the fans a nice match.
This meeting will show everything, Anthony is a strong boxer, but I am also strong.
When I fought with Klitschko, I was weaker and in worse shape than I am now.",True
1,1,BG_Box_AndiRuiz_vs_AnthonyDjoshua_YES,YES,"Всички ме подценяват, но това ще бъде страшна битка.
Всички ще видят какво мога.
Тук съм, за да шокирам всички, да шокирам света и да покажа кой съм.
Готов съм за Антъни Джошуа.
Надявам се, че той ме подценява и си мисли, че битката с мен ще бъде фасулска работа.
Но когато се изправи на ринга срещу мен, ще разбере, че това няма да е точно така.
Когато видите бързината и точността ми, ще бъдете изненадани.
Видях много слабости в играта му и знам, че той работи над тях.
Най-важното е да се придържам към игровия си план.
Не искам да говоря твърде много за неговите слабости.
Трябва само да импровизирам и да се възползвам от тях, когато удари гонгът.
Гледаме много видеоклипове на Майк Тайсън.
Обработваме някои от неговите движения, за да мога да се приближавам до Антъни Джошуа.
Най-важното е да остана фокусиран и да съм подготвен.
Да съм готов за всичко и да съм във форма.","Everyone underestimates me, but it will be a terrible battle.
Everyone will see what I can do.
I am here to shock everyone, to shock the world and to show who I am.
I'm ready for Anthony Joshua.
I hope he underestimates me and thinks the battle with me will be a bean job.
But when he faces me in the ring, he'll know that's not going to be the case.
When you see my speed and accuracy, you will be surprised.
I have seen many weaknesses in his game and I know that he is working on them.
The most important thing is to stick to my game plan.
I don't want to talk too much about his weaknesses.
I just have to improvise and take advantage of them when the gong strikes.
We watch a lot of videos of Mike Tyson.
We're working on some of his movements so I can get closer to Anthony Joshua.
The most important thing is to stay focused and prepared.
To be ready for everything and to be in shape.",True
2,2,BG_Box_AnthonyDjoshua_vs_AleksandarPovetkin_YES,YES,"Ако оставим настрана техниката и качествата, и двамата играем с голямо сърце и характер, показахме го срещу Кличко.
Ще спечели този, който се окаже най-издръжлив.
Той е един от най-леките боксьори в тежка категория в сравнение с други, но това означава че притежава бързина.
Имах спаринги с боксьори в полутежка категория като Лоурънс Околие, които са бързи и резки в ударите си.
Неговите силни страни?
Работя с хора, които имат подобни силни страни.","Leaving aside the technique and qualities, we both play with a big heart and character, we showed it against Klitschko.
The one who is the most resilient will win.
He is one of the lightest heavyweight boxers compared to others, but that means he has speed.
I had sparring matches with light heavyweight boxers like Lawrence Neighborhood who were fast and sharp in their punches.
Its strengths?
I work with people who have similar strengths.",True
3,3,BG_Box_AnthonyDjoshua_vs_AndiRuiz_NO,NO,"Приемам мача с Анди напълно сериозно, изобщо не го подценявам.
Уважавам него и екипа му и това, че прие този сблъсък, когато нямаше кой друг.
Независимо какво казват букмейкърите той ще направи добър мач и ще ми създаде проблеми.
Само от мен зависи да го надхитря и пречупя.","I take the match with Andy very seriously, I don't underestimate it at all.
I respect him and his team and the fact that he accepted this clash when there was no one else.
No matter what the bookmakers say, he will make a good match and cause me problems.
It's up to me to outwit and break it.",True
4,4,BG_Box_AntonyDjoshua_vs_VladimirKlichko_YES,YES,"Бях изтласкан на места, където никога не съм бил изтласкван преди това.
Мисля, че имам повече умора във фитнеса отколкото по време на битките.
Понякога опитвам неща, които не работят и аз съм чупил ребрата си, ръката си, изваждал съм рамото си, но го правя заради високите си цели.
Аз тренирах под прикритието на мрака, за да мога да блесна под светлините на 29 април.","I was pushed to places I had never been pushed before.
I think I have more fatigue in the gym than during the fights.
Sometimes I try things that don't work and I've broken my ribs, my arm, I've taken out my shoulder, but I do it for my lofty goals.
I trained under cover of darkness so I could shine in the lights on April 29th.",True
5,5,BG_Box_BogdanDinu_vs_KubratPulev_NO,NO,"Чудесно се, чувствам.
Добре дошли в Румъния и в моята зала.
Преди Кубрат ме би по точки.
Нормално е сега да има реванш и това е добре за мен.
Бях много млад, само на 21.
Той имаше повече опит.
Смятам, че сега сме равни.
Силно вярвам в себе си и се подготвих много добре.
Искам реванш, искам да съм по-добрият.
Познавам го повече като спортист.
Знам, че е много популярен в България.
Мисля, че е готин и като човек.
Имам една единствена загуба.
Сега искам да съм на върха.
Щастлив съм, че имам шанс да се боксирам с Кубрат Пулев.
Искам да го надвия.
Преди две години реших да направя своя боксова зала, където да не завися от никого.
Харесва ми да предавам опита си на децата.
Смятам, че опитът трябва да се предава нататък.
Харесвам Мохамед Али.
Чел съм много за него.
Харесвам начина, по който се е боксирал.
Сложил съм вдъхновяващи цитати от него в залата.
Това ме мотивира.
Работата ми в специалните части ми помага да се мотивирам и да не се отказвам.
Имам нужда от този адреналин.
Свикнал съм.
Нащрек съм и няма място за страх.
Рискове има във всичко.
Дори в това да ходиш по улицата.
Когато правиш нещо с голямо желание и страст, рисковете остават на заден план.
Боксът е най-голямото ми хоби.
Иначе зимата обичам да карам ски.
Луд съм за палачинки.
Мечтая да донеса колан от Световното в Румъния, първи колан в тежка категория.","Great, I feel.
Welcome to Romania and to my hall.
Before Kubrat beat me on points.
It is normal to have a rematch now and that is good for me.
I was very young, only 21.
He had more experience.
I think we are equal now.
I strongly believe in myself and I prepared very well.
I want revenge, I want to be the best.
I know him better as an athlete.
I know that it is very popular in Bulgaria.
I think he's cool as a person.
I have only one loss.
Now I want to be on top.
I am happy that I have a chance to box with Kubrat Pulev.
I want to beat him.
Two years ago I decided to make my own boxing hall, where I would not depend on anyone.
I like to pass on my experience to the children.
I believe that the experience must be passed on.
I like Mohamed Ali.
I read a lot about him.
I like the way he boxed.
I put inspirational quotes from him in the hall.
That motivates me.
My work in the special units helps me to be motivated and not to give up.
I need this adrenaline.
I'm used to it.
I am alert and there is no room for fear.
There are risks in everything.
Even walking down the street.
When you do something with great desire and passion, the risks stay in the background.
Boxing is my biggest hobby.
Otherwise, in winter I like to ski.
I'm crazy about pancakes.
My dream is to bring a belt from the World Cup in Romania, the first heavyweight belt.",True
6,6,BG_Box_CvetozarIliev_vs_GrigorSarahunan_NO,NO,"Григор е сериозен съперник.
Сигурен съм, че се подготвя добре.
Нямам никакво намерение да го подценя.
Имам какво да покажа срещу него.
Дадох си малко почивка след последния ми мач в края на 2018-а.
Имаше празници, но сега увеличих тренировъчното натоварване.
Ще бъда по-свеж.
Тренирам в Плевен в спортен клуб ""Скорпион"".
Там има доста момчета, с които правя спаринги.
Григор е опитен и има доста мачове.
Няма конкретен стил на игра, способен е да пресира или да разиграва.
Дългата пауза оказва влияние, но той е наясно как да си върне формата.
Не се представи добре в ""Арена Армеец"", но понякога в бокса получаваш удар.
Шоу ще има.
Всичко е възможно в тази битка.
Нямам намерение да отправям закани, защото спортът ме е научил да уважавам противниците.","Grigor is a serious opponent.
I'm sure he's preparing well.
I have no intention of underestimating it.
I have something to show against him.
I took a break after my last game at the end of 2018.
There were holidays, but now I have increased the training load.
I will be fresher.
I train in Pleven in the sports club ""Scorpio"".
There are a lot of guys there with whom I do sparring.
Grigor is experienced and has a lot of matches.
There is no specific style of play, he is able to press or play.
The long pause has an effect, but he knows how to get back in shape.
You don't perform well in Arena Armeec, but sometimes in boxing you get hit.
There will be a show.
Anything is possible in this battle.
I have no intention of making threats because sport has taught me to respect my opponents.",True
7,7,BG_Box_DerekChisora_vs_KubratPulev_NO,NO,"Идвам, за да убия този човек.
Нищо не се случи.
В момента, в който с Пулев бяхме лице в лице, едно от момчетата от неговия антураж, мисля, че му е близък приятел, ме удари с пластмасова бутилка в главата.
Каква е причината – не знам.","I'm coming to kill this man.
Nothing happened.
The moment Pulev and I were face to face, one of the boys in his entourage, I think he was a close friend, hit me in the head with a plastic bottle.
What is the reason - I do not know.",True
8,8,BG_Box_HuiFury_vs_KubratPulev_NO,NO,"С нетърпение очаквам битката с Кубрат Пулев.
Предстои ми една спокойна седмица, през която ще се подготвя за боя.
Ще посетим и Пловдив.
Идвали сме в България, когато бях на 14 години.
Имаме приятели тук в София.
Очаквам много публика в залата, но не мисля за нея.
Само аз и той в ринга, и това е единственото, което ме интересува.
Това, че ще се бием на неговата територия само повече ме мотивира.
Повече искам да го набия.
Предимството ми е, че Пулев никога не се е бил досега с човек като мен.
Имам много предимства.
Моите умения най-вече.
Ще видите всички за какво говоря на 27 октомври.
Всичко е между двама души с ръкавици, които се бият.
Когато удари гонга, ще видим кой е по-добрият.
В тренировките работим само аз и баща ми.
Не съм трениръл с Тайсън.
Иначе за предстящия бой съм на сто процента уверен, че ще победя.","I look forward to the battle with Kubrat Pulev.
I have a quiet week ahead of me, during which I will prepare for the fight.
We will also visit Plovdiv.
We came to Bulgaria when I was 14 years old.
We have friends here in Sofia.
I expect a lot of audience in the hall, but I don't think about it.
Just me and him in the ring, and that's all I care about.
The fact that we will fight on its territory only motivates me more.
I want to beat him more.
My advantage is that Pulev has never fought with a man like me.
I have many advantages.
My skills mostly.
You will all see what I am talking about on October 27th.
It's all between two people in gloves fighting.
When the gong strikes, we will see who is better.
Only my father and I work in training.
I didn't train with Tyson.
Otherwise, for the upcoming fight, I am one hundred percent sure that I will win.",True
9,9,BG_Box_KevinDjonson_vs_KubratPulev_NO,NO,"Последният ми двубой беше преди около два месеца в САЩ.
Спечелих го.
Взех решение да се върна и отново да се състезавам на най-високо ниво, затова и избрах да се изправя срещу много силен и опасен опонент.
Искам да спечеля, така че всичко е наред.
Готов съм да победя Кубрат.
Наслаждавам се на престоя си тук.
Разглеждах много, стараех се да си прекарвам добре, срещнах страхотни хора.
Тук е едно много красиво място.
Ще се наслаждавам преди мача, ще се наслаждавам и след мача, а също така ще се наслаждавам след победата на следващия си двубой.
И преди съм се изправял срещу съперник, който е подкрепян от феновете.
Може да скандират в негова полза колкото си искат, но не може да му помогнат на ринга.
На ринга сме само двамата, преди също съм бил в такава позиция и колкото и да викат, победителят може да е само един.","My last match was about two months ago in the United States.
I won it.
I decided to go back and compete at the highest level again, so I chose to face a very strong and dangerous opponent.
I want to win, so everything is fine.
I am ready to defeat Kubrat.
I enjoy my stay here.
I looked around a lot, I tried to have a good time, I met great people.
Here is a very beautiful place.
I will enjoy before the match, I will enjoy after the match, and I will also enjoy after winning my next match.
I have faced an opponent who is supported by the fans before.
They can chant in his favor as much as they want, but they can't help him in the ring.
There are only two of us in the ring, I have been in such a position before and no matter how much they shout, there can only be one winner.",True
