Sport,Interviewee,Opponent,Is_male,Rank,Rank Opp.,Int. Age,Opp. Age,Health,Psychics,Prev. Match,Confidence,day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,Class
Box,Aleksandar Povetkin,Anthony Djoshua,1,0.125461255,0.774907749,35,35,H,5,N,0.5,0.689655172,0.833333333,0.794478528,0,0.8,0.666666667,0.787234043,0.833333333,0.787234043,0.888888889,0
Box,Andy Ruiz,Anthony Djoshua,1,0.118081181,0.811808118,41,27,H,5,N,0.75,0.137931034,1,0,0,0,0,0,1,0,1,1
Box,Anthony Djoshua,Aleksandar Povetkin,1,0.774907749,0.125461255,38,33,H,5,N,0.75,0.689655172,0.833333333,0.794478528,0,0.8,0.666666667,0.787234043,0.833333333,0.787234043,0.888888889,1
Box,Anthony Djoshua,Andy Ruiz,1,0.811808118,0.118081181,28,27,H,5,N,0.75,0.137931034,1,0,0,0,0,0,1,0,1,0
Box,Anthony Djoshua,Wladimir Klitschko,1,0.664206642,0.05904059,32,37,H,5,N,0.75,0.931034483,0.833333333,0.346625767,0,0.3,0.333333333,0.340425532,0.833333333,0.340425532,0.777777778,1
Box,Bogdan Dinu,Kubrat Pulev,1,0.066420664,0.095940959,28,39,H,5,L,0.75,0.724137931,0.833333333,0.233128834,0,0.2,0,0.234042553,0.833333333,0.234042553,1,0
Box,Tsvetozar Iliev,Grigor Saruhanian,1,0.000962618,0.003690037,29,28,H,5,N,0.5,0.103448276,0.166666667,0.17791411,0,0.2,0,0.191489362,0.166666667,0.191489362,1,0
Box,Dereck Chisora,Kubrat Pulev,1,0.018450185,0.081180812,30,30,H,5,N,1,0.103448276,0.166666667,0.555214724,0,0.6,0.666666667,0.553191489,0.166666667,0.553191489,0.666666667,0
Box,Hughie Fury,Kubrat Pulev,1,0.077490775,0.092250923,27,23,H,5,N,1,0.862068966,0.833333333,0.901840491,0,0.9,1,0.893617021,0.833333333,0.893617021,0.888888889,0
Box,Kevin Johnson,Kubrat Pulev,1,0.015814444,0.088560886,22,19,H,5,N,1,0.896551724,0.666666667,0.343558282,0,0.3,0.333333333,0.340425532,0.666666667,0.340425532,0.777777778,0
Box,Kubrat Pulev,Bogdan Dinu,1,0.095940959,0.066420664,26,26,H,5,W,0.75,0.724137931,0.833333333,0.233128834,0,0.2,0,0.234042553,0.833333333,0.234042553,1,1
Box,Kubrat Pulev,Dereck Chisora,1,0.081180812,0.018450185,2,26,H,5,N,0.75,0.103448276,0.166666667,0.555214724,0,0.6,0.666666667,0.553191489,0.166666667,0.553191489,0.666666667,1
Box,Kubrat Pulev,Hughie Fury,1,0.092250923,0.077490775,27,23,H,5,N,0.75,0.862068966,0.833333333,0.901840491,0,0.9,1,0.893617021,0.833333333,0.893617021,0.888888889,1
Box,Kubrat Pulev,Kevin Johnson,1,0.088560886,0.015814444,26,26,H,5,N,0.75,0.896551724,0.666666667,0.343558282,0,0.3,0.333333333,0.340425532,0.666666667,0.340425532,0.777777778,1
Box,Kubrat Pulev,Maurice Harris,1,0.077490775,0.004797048,24,28,H,5,N,0.75,0.344827586,0.166666667,0.386503067,0,0.4,0.333333333,0.404255319,0.166666667,0.404255319,0.555555556,1
Box,Kubrat Pulev,Tony Thompson,1,0.627306273,0.046740467,26,26,H,5,N,0.75,0.75862069,0.833333333,0.705521472,0,0.7,0.666666667,0.70212766,0.833333333,0.70212766,0.333333333,1
Box,Kubrat Pulev,Wladimir Klitschko,1,0.73800738,0.076260763,24,30,H,5,N,1,0.448275862,0.833333333,0.960122699,0,1,1,0.957446809,0.833333333,0.957446809,0.444444444,0
Box,Tyson Fury,Francesco Pianeta,1,0.959409594,0.032287823,26,25,H,5,N,1,0.551724138,0.833333333,0.687116564,0,0.7,0.666666667,0.680851064,0.833333333,0.680851064,0.888888889,1
Box,Tervel Pulev,Leonardo Bruzzese,1,0.405904059,0.01402214,26,35,H,5,N,0.75,0.862068966,0.833333333,0.901840491,0,0.9,1,0.893617021,0.833333333,0.893617021,0.888888889,1
Box,Wladimir Klitschko,Anthony Djoshua,1,0.05904059,0.664206642,28,34,H,5,N,0.5,0.931034483,0.833333333,0.346625767,0,0.3,0.333333333,0.340425532,0.833333333,0.340425532,0.777777778,0
Box,Wladimir Klitschko,Kubrat Pulev,1,0.076260763,0.73800738,26,35,A,5,N,0.75,0.448275862,0.833333333,0.960122699,0,1,1,0.957446809,0.833333333,0.957446809,0.444444444,1
MMA,Anita Doganova,Aleksandra Toncheva,0,0.007380074,0,25,31,H,5,N,0.25,0.206896552,0.5,0.101226994,0,0.1,0,0.106382979,0.5,0.106382979,0.888888889,0
MMA,Blagoi Ivanov,Ben Rothwell,1,0.029520295,0.013284133,25,24,H,5,N,1,0.034482759,0.166666667,0.736196319,0,0.8,0.666666667,0.744680851,0.166666667,0.744680851,1,1
MMA,Daniel Zlatkov,Atanas Mihaylov,1,0,0,30,28,H,5,N,1,0.379310345,0.833333333,0.021472393,0,0,0,0.021276596,0.833333333,0.021276596,0.888888889,1
MMA,Deyan Topalski,Muslim Salihov,1,0.029520295,0.007380074,25,26,A,5,N,0.5,0.068965517,0.333333333,0.739263804,0,0.8,0.666666667,0.744680851,0.333333333,0.744680851,0.333333333,0
